,FLID,TID,ZTBFQ,VNIID,TBFQ
2,FLG2013_FLG_ID_001312_50547,67c71c40-6fe9-41e0-a415-3bacebac3d6c,1.0,67c71c40-6fe9-41e0-a415-3bacebac3d6c,1.0
0,FLG2013_FLG_ID_004647_63194,60d15122-5734-41cd-9af9-c36f96aede20,1.0,60d15122-5734-41cd-9af9-c36f96aede20,1.0
0,FLG2013_FLG_ID_002815_54808,95cc297f-a24f-4bf3-bc7d-be2740d0662d,1.0093567251461988,95cc297f-a24f-4bf3-bc7d-be2740d0662d,1.0082051282051283
0,FLG2013_FLG_ID_001152_50081,dd1dbdc7-1b2c-42fe-80f5-6b3597f650b1,1.1240616757963076,dd1dbdc7-1b2c-42fe-80f5-6b3597f650b1,1.123877736305861
0,FLG2013_FLG_ID_002093_53441,95143661-770d-4dc6-81f3-b11585a44f89,1.0326086956521738,95143661-770d-4dc6-81f3-b11585a44f89,1.0245901639344261
1,FLG2013_FLG_ID_002518_54241,5dcde378-016b-4c76-8569-390094544eb4,0.9420828905419766,5dcde378-016b-4c76-8569-390094544eb4,0.9900627615062761
0,FLG2013_FLG_ID_004815_69237,639b7e17-24ac-4e03-87df-e8370ed824a5,1.0,639b7e17-24ac-4e03-87df-e8370ed824a5,1.0
1,FLG2013_FLG_ID_000941_48510,d33c6acf-c4b8-4630-9625-81660deca421,1.0,d33c6acf-c4b8-4630-9625-81660deca421,1.0
0,FLG2013_FLG_ID_003681_56423,ae0f86be-35a0-43b8-b817-cc964fa6ade9,1.459472122442605,ae0f86be-35a0-43b8-b817-cc964fa6ade9,1.451909802116889
0,FLG2013_FLG_ID_003503_56115,3fbab096-786a-4c27-810c-9d3071799a32,1.0091911764705883,3fbab096-786a-4c27-810c-9d3071799a32,1.0082781456953642
0,FLG2013_FLG_ID_003217_55556,29691d20-900c-4213-bc38-e024d7c529dd,1.262531328320802,29691d20-900c-4213-bc38-e024d7c529dd,1.2530193236714975
1,FLG2013_FLG_ID_003942_56897,10726c13-f6e2-47e4-843e-b550394ada81,1.0014091122592768,10726c13-f6e2-47e4-843e-b550394ada81,1.0013339261894174
0,FLG2013_FLG_ID_005795_95462,2856e817-6144-4d35-8e90-ef0e67073590,1.4076567721643405,2856e817-6144-4d35-8e90-ef0e67073590,1.405266757865937
1,FLG2013_FLG_ID_002083_53424,c9d7bbf3-e001-4ccf-a79b-cda4fc84db24,1.0,c9d7bbf3-e001-4ccf-a79b-cda4fc84db24,1.0
0,FLG2013_FLG_ID_004454_61727,3127eb8f-335f-439e-b162-31cc9caca7d0,0.6599205598638169,3127eb8f-335f-439e-b162-31cc9caca7d0,1.0005544774050457
0,FLG2013_FLG_ID_001062_49391,7ac426d7-8aef-48ea-b148-2ff4cdc4dbb6,1.2385875319175437,7ac426d7-8aef-48ea-b148-2ff4cdc4dbb6,1.2426724809219747
0,FLG2013_FLG_ID_002212_53702,ce53008d-62c5-4e23-8742-8b8e5427a6da,1.0,ce53008d-62c5-4e23-8742-8b8e5427a6da,1.0
0,FLG2013_FLG_ID_001103_49618,984b09ce-1428-4292-8c60-13c3d8c66e7e,0.9747899159663865,984b09ce-1428-4292-8c60-13c3d8c66e7e,0.9747899159663865
0,FLG2013_FLG_ID_001420_51311,686aaf77-5a10-4ef9-80e8-7cb771117d9c,1.2978293347394323,686aaf77-5a10-4ef9-80e8-7cb771117d9c,1.3223199218403054
1,FLG2013_FLG_ID_004986_78978,2d730397-58d8-41a9-b530-e95a91a579e8,2.238095238095238,2d730397-58d8-41a9-b530-e95a91a579e8,2.2015732546706
2,FLG2013_FLG_ID_003420_55977,a2f7bded-69d5-4013-a49e-b9aea1bb367c,1.1860111505321844,a2f7bded-69d5-4013-a49e-b9aea1bb367c,1.1860111505321844
0,FLG2013_FLG_ID_001982_53171,1485db46-7d50-4b50-b90d-599fa2106d97,1.1549295774647887,1485db46-7d50-4b50-b90d-599fa2106d97,1.137104506232023
0,FLG2013_FLG_ID_003833_56677,87b64f39-f567-43a6-b350-55d663e2c739,1.0698619008935824,87b64f39-f567-43a6-b350-55d663e2c739,1.0636565507031828
1,FLG2013_FLG_ID_003271_55662,52e216ae-117b-4db6-912a-5d2ebb84441e,1.0,52e216ae-117b-4db6-912a-5d2ebb84441e,1.0
0,FLG2013_FLG_ID_005615_95157,f2a35f7f-7699-4770-8941-ecd8a455f63d,1.0354312354312354,f2a35f7f-7699-4770-8941-ecd8a455f63d,1.0451317296678122
0,FLG2013_FLG_ID_004214_60844,d0218458-f8da-471f-9507-20536aa7024b,1.6367990421073637,d0218458-f8da-471f-9507-20536aa7024b,1.630550621669627
1,FLG2013_FLG_ID_001548_51683,a731437c-9754-4ee4-89ef-d1e3ca0f7fc4,1.173279966875992,a731437c-9754-4ee4-89ef-d1e3ca0f7fc4,1.1718568202039559
0,FLG2013_FLG_ID_003138_55430,f03c663c-1feb-4996-8783-f9a2d91a581d,0.9970059880239521,f03c663c-1feb-4996-8783-f9a2d91a581d,0.9973262032085561
1,FLG2013_FLG_ID_003387_55922,b549e74e-7189-46b9-910e-d3356a21ece7,0.9934938191281718,b549e74e-7189-46b9-910e-d3356a21ece7,0.9939649969824985
0,FLG2013_FLG_ID_001823_52616,95aded7d-81fc-4c68-85d8-4325e785126d,1.0157068062827226,95aded7d-81fc-4c68-85d8-4325e785126d,1.0149827122550903
1,FLG2013_FLG_ID_000499_44512,9541e645-32ee-442c-bbd5-5dbb59503e7d,1.0084770534931307,9541e645-32ee-442c-bbd5-5dbb59503e7d,1.0083309393852342
0,FLG2013_FLG_ID_005566_95040,1016cd3a-b150-46ff-8cd0-eb0d081d53e6,1.0725893824485373,1016cd3a-b150-46ff-8cd0-eb0d081d53e6,1.0707497360084477
0,FLG2013_FLG_ID_004002_60024,e58e25b9-0723-4379-b1f2-2f3bec87687e,1.1409126120476594,e58e25b9-0723-4379-b1f2-2f3bec87687e,1.1517973068219758
0,FLG2013_FLG_ID_001764_52421,206e79c5-8391-4d56-af81-b7222f804e9d,1.039318153539878,206e79c5-8391-4d56-af81-b7222f804e9d,1.0387397327448817
1,FLG2013_FLG_ID_005164_88781,41cc56c5-2e24-4a88-b4c0-e22ff8ba4c93,1.184065351156376,41cc56c5-2e24-4a88-b4c0-e22ff8ba4c93,1.1817515189608212
2,FLG2013_FLG_ID_000682_45727,53bc672e-51fc-420e-aa7d-ff3b6be804cb,1.1356199487482752,53bc672e-51fc-420e-aa7d-ff3b6be804cb,1.1324860388985172
0,FLG2013_FLG_ID_003841_56686,f22ebd56-9fcb-4b0d-bcb1-94c8da92bbee,1.0,f22ebd56-9fcb-4b0d-bcb1-94c8da92bbee,1.0
1,FLG2013_FLG_ID_003762_56582,3103e822-a15e-4db2-a026-3f0114bffa29,0.9839449541284404,3103e822-a15e-4db2-a026-3f0114bffa29,0.987410071942446
2,FLG2013_FLG_ID_001055_49350,0c99d9b0-e94e-4d06-8e1c-2b78a6f636fe,1.2621625421822271,0c99d9b0-e94e-4d06-8e1c-2b78a6f636fe,1.2680299883847805
3,FLG2013_FLG_ID_000020_53922,ae35d139-6bd9-4ee1-82e3-58282143c44f,1.0,ae35d139-6bd9-4ee1-82e3-58282143c44f,1.0
0,FLG2013_FLG_ID_004196_60790,fda5a8ba-7d1d-4bd3-8d9a-c07ac304048b,1.5378156448725073,fda5a8ba-7d1d-4bd3-8d9a-c07ac304048b,1.5338603910032482
1,FLG2013_FLG_ID_004747_69136,61b97474-80ac-4b4a-8e40-0c1209832f4d,1.0,61b97474-80ac-4b4a-8e40-0c1209832f4d,1.0
0,FLG2013_FLG_ID_002702_54534,6be744fe-f249-4f61-8e22-c6440062d4b7,1.0458089668615984,6be744fe-f249-4f61-8e22-c6440062d4b7,1.0437445319335084
0,FLG2013_FLG_ID_001679_52184,20606cf1-c7c5-4b71-86cc-3c02b2bad052,1.4012426422498365,20606cf1-c7c5-4b71-86cc-3c02b2bad052,1.3860918816865953
0,FLG2013_FLG_ID_002566_54301,5b1c37a6-73f5-420e-9017-0806ab06c3f9,0.9627444892890407,5b1c37a6-73f5-420e-9017-0806ab06c3f9,1.0
1,FLG2013_FLG_ID_000626_45321,a99dc685-6113-46f6-973e-57923f68911a,0.9756991085602638,a99dc685-6113-46f6-973e-57923f68911a,1.0141302988620733
0,FLG2013_FLG_ID_000086_40221,2e275420-b31b-406c-a9c6-6881ff952c98,1.7905169223177202,2e275420-b31b-406c-a9c6-6881ff952c98,1.7866350206653845
0,FLG2013_FLG_ID_005540_94694,f69d25c7-1799-4e43-bcca-23a618abd04a,1.0,f69d25c7-1799-4e43-bcca-23a618abd04a,1.0
1,FLG2013_FLG_ID_000662_45650,25e4499e-ca49-46a9-930a-46c9c022df0f,1.0877656869724397,25e4499e-ca49-46a9-930a-46c9c022df0f,1.0898716119828815
0,FLG2013_FLG_ID_001446_51394,e90004eb-b0e9-4fac-91ad-c04f71bccb79,1.068046633357126,e90004eb-b0e9-4fac-91ad-c04f71bccb79,1.0670889045273282
0,FLG2013_FLG_ID_001496_51535,3cf3a3a7-86b5-4176-a2f9-45610f725dd0,1.3005302557704304,3cf3a3a7-86b5-4176-a2f9-45610f725dd0,1.3222607052896724
1,FLG2013_FLG_ID_000268_42236,7c690214-155c-48e9-8f1b-c91347e235cb,1.5013641634267785,7c690214-155c-48e9-8f1b-c91347e235cb,1.5054566537071141
2,FLG2013_FLG_ID_005446_92761,782d6ea8-482e-441b-9c5d-e7af231fec47,1.8039938946832867,782d6ea8-482e-441b-9c5d-e7af231fec47,1.7930299611382725
0,FLG2013_FLG_ID_000524_44621,562d6559-9d81-4ac6-9654-69b32defa0f3,1.3438261026427347,562d6559-9d81-4ac6-9654-69b32defa0f3,1.3748626876601977
1,FLG2013_FLG_ID_001854_52702,e19dc394-3511-4301-9a2f-cf62af69c7ce,0.9369095816464238,e19dc394-3511-4301-9a2f-cf62af69c7ce,0.9183201058201058
2,FLG2013_FLG_ID_004730_69113,af1a0d69-85c3-461a-85e1-d4b74f20802d,1.0,af1a0d69-85c3-461a-85e1-d4b74f20802d,1.0
0,FLG2013_FLG_ID_001159_50106,26c06cc3-9624-46ac-8222-ec2897ff3c17,1.0,26c06cc3-9624-46ac-8222-ec2897ff3c17,1.0
1,FLG2013_FLG_ID_000917_48372,4814f02e-f7f9-4e15-94f7-fbf8eb1e7ebe,1.0113719201049716,4814f02e-f7f9-4e15-94f7-fbf8eb1e7ebe,1.0422389602717472
0,FLG2013_FLG_ID_003870_56762,5b543700-44ac-4d9d-9dba-0bf08af260df,0.989247311827957,5b543700-44ac-4d9d-9dba-0bf08af260df,0.9648365206662554
0,FLG2013_FLG_ID_004674_63280,d5ff91b6-c126-46bc-acf8-329ace5c7b5d,1.1431226765799256,d5ff91b6-c126-46bc-acf8-329ace5c7b5d,1.1332179930795847
0,FLG2013_FLG_ID_003893_56805,64085132-1e57-47c4-9cda-d8e8fa6e82d0,1.0,64085132-1e57-47c4-9cda-d8e8fa6e82d0,1.0
1,FLG2013_FLG_ID_002273_53812,abe3be5a-7f15-455a-9322-e53035ad1bce,1.1046648373186985,abe3be5a-7f15-455a-9322-e53035ad1bce,1.0999625608386372
0,FLG2013_FLG_ID_004378_61502,96b3b8a2-b4a0-476b-823b-5c083ad3f061,0.9991189427312775,96b3b8a2-b4a0-476b-823b-5c083ad3f061,0.999203187250996
0,FLG2013_FLG_ID_000222_41857,fae4bf91-3fa0-44ee-99f6-7c52fc88c0b8,1.2419613075383589,fae4bf91-3fa0-44ee-99f6-7c52fc88c0b8,1.2459639759839893
1,FLG2013_FLG_ID_002438_54091,9817579c-5eed-4a3a-bcda-f737da39a8ca,1.0539179104477612,9817579c-5eed-4a3a-bcda-f737da39a8ca,1.0695216907675196
0,FLG2013_FLG_ID_004729_69112,8a932229-0e5b-4d5c-88b3-8e50684f8eef,1.0,8a932229-0e5b-4d5c-88b3-8e50684f8eef,1.0
0,FLG2013_FLG_ID_004988_79191,ba0f170b-0faf-4378-9b1e-5c6f88cc9e1e,1.0,ba0f170b-0faf-4378-9b1e-5c6f88cc9e1e,1.0
0,FLG2013_FLG_ID_005474_93323,bec159fb-2b5b-4424-97e4-2cc98ac5fc1f,0.9176646706586826,bec159fb-2b5b-4424-97e4-2cc98ac5fc1f,0.9244505494505495
1,FLG2013_FLG_ID_002521_54246,088e9372-f6d3-49b1-b20e-e8ae44df79da,1.001118985453189,088e9372-f6d3-49b1-b20e-e8ae44df79da,1.0010710460549803
2,FLG2013_FLG_ID_004846_69307,f0900048-23f8-499f-82d3-92bb4ba5dde2,1.5449451741173634,f0900048-23f8-499f-82d3-92bb4ba5dde2,1.643624504412329
3,FLG2013_FLG_ID_004010_60038,da89bd76-9b2d-4074-af90-375cfd0ec8c7,1.0399632521819018,da89bd76-9b2d-4074-af90-375cfd0ec8c7,1.039651018946546
0,FLG2013_FLG_ID_000347_43076,3c340815-2f3c-45cd-b9a4-c30c032154c5,1.1180129905772573,3c340815-2f3c-45cd-b9a4-c30c032154c5,1.125011506950198
1,FLG2013_FLG_ID_004876_69388,3f4ba6bd-3045-42c3-b88a-60e8466320fd,1.354101299865531,3f4ba6bd-3045-42c3-b88a-60e8466320fd,1.3494029190623618
2,FLG2013_FLG_ID_004535_62139,02f2b077-0f4e-4a26-916b-95bf871d8533,1.0005249343832021,02f2b077-0f4e-4a26-916b-95bf871d8533,1.0005141388174807
0,FLG2013_FLG_ID_002278_53828,16b42b8a-30fc-4335-9b68-2e74ae396f20,1.1115173674588665,16b42b8a-30fc-4335-9b68-2e74ae396f20,1.1057192374350087
0,FLG2013_FLG_ID_004274_61080,7eb0a908-a4f8-4539-a56e-75543270119a,1.1868208414600168,7eb0a908-a4f8-4539-a56e-75543270119a,1.1673061112633598
0,FLG2013_FLG_ID_005075_83707,eb73b40e-b169-45da-9055-9ec5ba3423a8,1.0,eb73b40e-b169-45da-9055-9ec5ba3423a8,1.0
0,FLG2013_FLG_ID_002357_53939,c8f26f0a-7646-412a-87b2-f788475c205c,0.9711131986848286,c8f26f0a-7646-412a-87b2-f788475c205c,1.0033011082291912
1,FLG2013_FLG_ID_005013_79355,2fbfa86a-fb44-41b4-b936-83c60b080e71,1.0024067388688327,2fbfa86a-fb44-41b4-b936-83c60b080e71,1.0022446689113356
